Date,Signal,Open,High,Low,Close,Adj Close
11/19/2015,13.76853966,116.440002,116.650002,115.739998,116.059998,108.281601
11/20/2015,13.60881866,116.480003,117.360001,116.379997,116.809998,108.981323
11/23/2015,12.99058885,116.709999,117.889999,116.68,117.389999,109.522453
11/24/2015,12.66743501,116.879997,118.419998,116.559998,118.25,110.324837
11/25/2015,13.01991001,118.300003,119.32,118.110001,119.169998,111.183159
11/27/2015,12.87981912,119.269997,119.900002,118.879997,119.620003,111.602997
11/30/2015,13.18479145,120.019997,120.07,119.050003,119.099998,111.117851
12/1/2015,12.92263147,119.610001,119.910004,118.900002,119.889999,111.854897
12/2/2015,13.11807558,119.730003,120.040001,118.449997,118.599998,110.651367
12/3/2015,12.91653996,118.93,119.449997,116.139999,116.599998,108.785408
12/4/2015,13.155278,116.599998,117.93,116.339996,117.779999,109.886322
12/7/2015,12.43022109,117.639999,117.669998,115.510002,116.010002,108.234947
12/8/2015,13.03033518,114.959999,116.010002,114.459999,115.370003,107.637833
12/9/2015,12.43960416,115.029999,116.169998,113.599998,114.080002,106.434288
12/10/2015,13.24967112,113.889999,115.080002,113.650002,114.459999,106.788841
12/11/2015,13.06752608,113.269997,113.339996,111.529999,111.910004,104.409737
12/14/2015,13.05495484,111.870003,112.379997,110.279999,111.110001,103.663368
12/15/2015,12.23140489,111.730003,112.959999,111.599998,112.709999,105.15612
12/16/2015,13.07807392,113.489998,114.650002,112.830002,114.43,106.760834
12/17/2015,12.4365795,114.910004,114.940002,112.970001,113.209999,105.622612
12/18/2015,13.10749519,112.660004,112.889999,111.440002,111.480003,104.008545
12/21/2015,12.48853121,112.169998,112.629997,111.5,112.32,104.792259
12/22/2015,12.94333002,112.639999,113.519997,111.790001,113.349998,105.753227
12/23/2015,12.95348508,113.919998,114.959999,113.730003,114.779999,107.087379
12/24/2015,12.56658888,114.440002,115.160004,114.150002,114.5,107.289787
12/28/2015,13.16991537,113.980003,114.07,112.959999,113.970001,106.793152
12/29/2015,12.9883984,114.480003,115.290001,114.07,115.199997,107.945709
12/30/2015,12.64482711,115.050003,115.349998,114,114.040001,106.858749
12/31/2015,11.96382432,113.559998,113.970001,112.510002,112.620003,105.528168
1/4/2016,12.47599181,110.610001,110.830002,109.080002,110.010002,103.082527
1/5/2016,11.09339016,110.410004,110.580002,109.550003,110.25,103.307411
1/6/2016,11.16158642,108.699997,109.599998,108,108.57,101.7332
1/7/2016,12.01135369,106.720001,107.5,105.489998,105.669998,99.015808
1/8/2016,10.72271882,105.870003,106.489998,103.660004,103.849998,97.31044
1/11/2016,11.32893396,104.209999,104.779999,102.309998,103.400002,96.888771
1/12/2016,10.80752521,104.220001,104.989998,101.940002,103.709999,97.179237
1/13/2016,11.6613407,103.910004,104.419998,99.650002,100.379997,94.058937
1/14/2016,11.70974725,100.860001,102.709999,99.190002,101.769997,95.361397
1/15/2016,11.68259035,99.080002,100.290001,97.510002,100.120003,93.815323
1/19/2016,10.94245574,101.07,101.199997,97.739998,98.769997,92.550323
1/20/2016,11.47975553,97.43,100.330002,95.059998,99.18,92.934502
1/21/2016,10.9133121,99.330002,100.910004,98.379997,98.949997,92.718971
1/22/2016,11.43596835,100.650002,101.610001,100.129997,101.370003,94.986595
1/25/2016,11.43367482,100.739998,101.080002,98.849998,99.120003,92.878281
1/26/2016,11.57717652,99.519997,101.400002,99.18,101.099998,94.733612
1/27/2016,11.63957096,100.589996,101.589996,99.059998,99.709999,93.431114
1/28/2016,10.71203736,100.550003,100.949997,99.220001,99.690002,93.412376
1/29/2016,10.72592473,100.040001,102.980003,99.959999,102.959999,96.476471
2/1/2016,11.90101298,102.139999,103.089996,101.25,102.489998,96.036064
2/2/2016,10.58299626,101.330002,101.470001,99.769997,100.279999,93.96524
2/3/2016,10.62606058,101.059998,101.07,98.139999,100.410004,94.087059
2/4/2016,10.66213416,100,101.970001,99.970001,100.800003,94.452484
2/5/2016,11.20647478,100.349998,100.440002,97.959999,98.040001,91.866287
2/8/2016,11.1914392,97.010002,97.010002,94.940002,96.43,90.357658
2/9/2016,10.6436927,95.129997,97.129997,95.019997,95.779999,89.748604
2/10/2016,11.45195888,96.449997,97.919998,95.68,95.830002,89.795471
2/11/2016,11.29269564,94.080002,95.400002,93.639999,94.790001,88.820946
2/12/2016,11.12633434,95.660004,96.790001,95.190002,96.589996,90.507591
2/16/2016,11.40789267,97.790001,99.099998,97.220001,98.879997,92.653389
2/17/2016,11.07825313,99.57,101.089996,99.529999,100.43,94.105797
2/18/2016,11.88212243,100.510002,100.639999,99.540001,99.949997,93.656013
2/19/2016,11.31112644,99.559998,100.559998,99.110001,100.449997,94.124527
2/22/2016,11.06875112,101.339996,102.010002,101.239998,101.57,95.173996
2/23/2016,12.18319024,101.239998,101.489998,100.550003,100.639999,94.302559
2/24/2016,12.12888046,99.620003,101.82,98.970001,101.610001,95.211502
2/25/2016,12.27180802,101.790001,102.599998,101.389999,102.540001,96.082909
2/26/2016,12.15967782,103.059998,103.470001,102.699997,103.190002,96.691986
2/29/2016,12.64836901,103.129997,104.029999,102.720001,102.730003,96.260956
3/1/2016,11.99128341,103.620003,104.940002,103.07,104.940002,98.331795
3/2/2016,12.24396516,104.790001,106.089996,104.589996,106.019997,99.343773
3/3/2016,11.58979167,106.050003,107.150002,105.919998,107.129997,100.383881
3/4/2016,12.6094093,107.07,108.32,106.669998,107.720001,100.936729
3/7/2016,11.43468634,107.209999,108.989998,107.209999,108.889999,102.033043
3/8/2016,12.77469774,108.290001,108.290001,106.139999,106.260002,99.568657
3/9/2016,12.62029429,106.620003,107.010002,106.07,106.800003,100.074677
3/10/2016,11.94599124,107.099998,107.489998,104.809998,105.93,99.25943
3/11/2016,12.03032316,106.790001,108.330002,106.660004,108.199997,101.38649
3/14/2016,11.72614038,107.870003,108.339996,107.400002,107.919998,101.124153
3/15/2016,12.20167512,107.209999,107.279999,106.029999,106.239998,99.549927
3/16/2016,12.78751631,105.730003,107.330002,105.730003,106.989998,100.252693
3/17/2016,12.64950272,106.989998,109.099998,106.330002,108.629997,101.789413
3/18/2016,11.93350312,108.769997,109.949997,108.699997,109.610001,102.707703
3/21/2016,11.48562608,109.440002,109.940002,109.080002,109.349998,102.464073
3/22/2016,11.62060485,108.779999,109.690002,108.470001,109.220001,102.342255
3/23/2016,11.94324607,108.540001,108.589996,106.800003,106.879997,100.450363
3/24/2016,13.06411268,106.239998,107.220001,105.739998,107.199997,100.751106
3/28/2016,12.10266323,107.43,107.779999,106.550003,107.330002,100.873306
3/29/2016,12.5322372,107.040001,110.339996,106.769997,110.309998,103.674011
3/30/2016,11.93025761,110.889999,111.120003,110.050003,110.32,103.683434
3/31/2016,12.53209977,110.480003,111.169998,110.339996,110.629997,103.97477
4/1/2016,12.425094,109.610001,111.220001,109.480003,111.120003,104.43531
4/4/2016,12.74733183,110.910004,111.32,110.099998,110.190002,103.561264
4/5/2016,12.55165623,109.370003,109.860001,108.839996,108.940002,102.386436
4/6/2016,11.65384118,108.93,110.269997,108.589996,110.169998,103.54245
4/7/2016,12.64713655,109.370003,109.879997,108.129997,108.68,102.142082
4/8/2016,13.17310413,109.610001,110.07,108.629997,109.110001,102.546211
4/11/2016,12.27113291,109.739998,110.550003,108.75,108.769997,102.226677
4/12/2016,13.31634717,108.790001,110.18,108.43,109.940002,103.326279
4/13/2016,12.13919527,110.580002,112.43,110.510002,112.309998,105.553719
4/14/2016,13.299777,112.260002,112.699997,111.879997,112.169998,105.422104
4/15/2016,12.55127348,111.900002,112.629997,111.860001,112.449997,105.685295
4/18/2016,12.8705676,111.980003,113.389999,111.870003,113.300003,106.484169
4/19/2016,12.61206163,113.510002,114.129997,112.889999,113.389999,106.568726
4/20/2016,12.13919527,113.389999,114.209999,112.970001,113.559998,106.728516
4/21/2016,12.90328488,113.470001,113.919998,112.660004,112.989998,106.192802
4/22/2016,12.81891168,112.980003,114.190002,112.980003,114.110001,107.245422
4/25/2016,13.44068699,113.800003,113.910004,112.809998,113.300003,106.484169
4/26/2016,12.43190678,113.669998,114.529999,113.169998,114.410004,107.527374
4/27/2016,13.18235319,114.480003,115.050003,113.900002,114.809998,107.903297
4/28/2016,13.09217146,114.269997,115,113.190002,113.5,106.672119
4/29/2016,12.4848678,113.010002,113.459999,111.720001,112.480003,105.713493
5/2/2016,12.18653779,112.830002,113.510002,112.18,113.480003,106.653343
5/3/2016,13.13397918,112.550003,112.559998,110.93,111.620003,104.90522
5/4/2016,12.4191953,110.989998,111.989998,110.370003,110.699997,104.040565
5/5/2016,12.92437622,111.150002,111.330002,110.099998,110.260002,103.627022
5/6/2016,13.01475602,109.800003,110.93,109.540001,110.910004,104.23793
5/9/2016,12.1986968,110.919998,111.889999,110.629997,111.230003,104.538681
5/10/2016,12.98358608,111.660004,112.400002,111.07,112.349998,105.591309
5/11/2016,12.77252482,112.099998,112.269997,110.870003,110.959999,104.284904
5/12/2016,12.93976895,111.190002,111.489998,109.5,110.370003,103.730415
5/13/2016,12.14011848,110.059998,110.940002,109.360001,109.639999,103.044334
5/16/2016,12.78017433,109.919998,111.519997,109.870003,111.029999,104.350693
5/17/2016,11.99521763,110.879997,111.419998,108.769997,109.269997,102.696579
5/18/2016,13.10437397,108.809998,110.660004,108.790001,109.839996,103.2323
5/19/2016,12.22799766,109.040001,109.769997,107.989998,108.959999,102.405243
5/20/2016,13.32441003,109.290001,110.790001,109.230003,110.790001,104.125153
5/23/2016,13.05321777,110.769997,111.389999,110.5,110.660004,104.002968
5/24/2016,12.79546484,111.309998,113.220001,111.269997,112.940002,106.145813
5/25/2016,12.71042979,113.300003,113.900002,113.080002,113.599998,106.766106
5/26/2016,13.18837461,113.769997,114.019997,113.25,113.470001,106.643936
5/27/2016,12.76342447,113.559998,114.599998,113.510002,114.599998,107.705933
5/31/2016,13.07922456,114.82,115.540001,114.5,115,108.081886
6/1/2016,12.55918928,114.610001,115.949997,114.419998,115.779999,108.814972
6/2/2016,13.92147439,115.489998,116.669998,115.370003,116.669998,109.651413
6/3/2016,12.95596602,116.470001,116.470001,115,115.970001,108.993538
6/6/2016,13.66908011,116.080002,117.580002,116.010002,117.220001,110.168327
6/7/2016,12.43597603,117.290001,117.980003,116.959999,117.559998,110.487892
